"MET2013","METRO_AREA","OCC","OCCUPATION","OCCUPATION_BROAD","GENDER","TOTAL_POP","HISP-LAT","WHITE","AI-AN","ASIAN-PI","BLACK","TWO-OR-MORE","OTHER","PCT_HISP-LAT","PCT_WHITE","PCT_AI-AN","PCT_ASIAN-PI","PCT_BLACK","PCT_TWO-OR-MORE","PCT_OTHER"
29180,"Lafayette, LA","2005","Rehabilitation counselors","Mental health counselors","ALL",46,NA,46,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29180,"Lafayette, LA","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",74,NA,16,NA,18,40,NA,NA,NA,21.62,NA,24.32,54.05,NA,NA
29200,"Lafayette-West Lafayette, IN","0000","Total-Pop","Total-Pop","MALE",97545,8179,73317,255,8534,5247,1809,204,8.38,75.16,0.26,8.75,5.38,1.85,0.21
29200,"Lafayette-West Lafayette, IN","0000","Total-Pop","Total-Pop","FEMALE",94112,7657,72224,183,6824,4837,2227,160,8.14,76.74,0.19,7.25,5.14,2.37,0.17
29200,"Lafayette-West Lafayette, IN","1825","Other psychologists","Psychologists","FEMALE",14,NA,14,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29200,"Lafayette-West Lafayette, IN","1822","School psychologists","Psychologists","FEMALE",29,NA,29,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29200,"Lafayette-West Lafayette, IN","2004","Mental health counselors","Mental health counselors","MALE",25,NA,25,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29200,"Lafayette-West Lafayette, IN","2005","Rehabilitation counselors","Mental health counselors","MALE",19,NA,19,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29200,"Lafayette-West Lafayette, IN","0000","Total-Pop","Total-Pop","ALL",191657,15836,145541,438,15358,10084,4036,364,8.26,75.94,0.23,8.01,5.26,2.11,0.19
29200,"Lafayette-West Lafayette, IN","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",26,14,12,NA,NA,NA,NA,NA,53.85,46.15,NA,NA,NA,NA,NA
29200,"Lafayette-West Lafayette, IN","1825","Other psychologists","Psychologists","MALE",21,NA,21,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29200,"Lafayette-West Lafayette, IN","1822","School psychologists","Psychologists","ALL",29,NA,29,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29200,"Lafayette-West Lafayette, IN","2004","Mental health counselors","Mental health counselors","ALL",70,NA,70,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29200,"Lafayette-West Lafayette, IN","2005","Rehabilitation counselors","Mental health counselors","ALL",31,NA,31,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29200,"Lafayette-West Lafayette, IN","2004","Mental health counselors","Mental health counselors","FEMALE",45,NA,45,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29200,"Lafayette-West Lafayette, IN","2005","Rehabilitation counselors","Mental health counselors","FEMALE",12,NA,12,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29200,"Lafayette-West Lafayette, IN","1825","Other psychologists","Psychologists","ALL",35,NA,35,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29200,"Lafayette-West Lafayette, IN","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",26,14,12,NA,NA,NA,NA,NA,53.85,46.15,NA,NA,NA,NA,NA
29420,"Lake Havasu City-Kingman, AZ","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",24,NA,24,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29420,"Lake Havasu City-Kingman, AZ","0000","Total-Pop","Total-Pop","ALL",228447,39790,172323,6950,3002,2144,4010,228,17.42,75.43,3.04,1.31,0.94,1.76,0.1
29420,"Lake Havasu City-Kingman, AZ","2005","Rehabilitation counselors","Mental health counselors","FEMALE",23,NA,23,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29420,"Lake Havasu City-Kingman, AZ","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",22,NA,22,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29420,"Lake Havasu City-Kingman, AZ","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",46,NA,46,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29420,"Lake Havasu City-Kingman, AZ","2004","Mental health counselors","Mental health counselors","FEMALE",16,NA,16,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29420,"Lake Havasu City-Kingman, AZ","0000","Total-Pop","Total-Pop","FEMALE",112670,18888,85627,3735,1820,697,1689,214,16.76,76,3.31,1.62,0.62,1.5,0.19
29420,"Lake Havasu City-Kingman, AZ","0000","Total-Pop","Total-Pop","MALE",115777,20902,86696,3215,1182,1447,2321,14,18.05,74.88,2.78,1.02,1.25,2,0.01
29420,"Lake Havasu City-Kingman, AZ","1825","Other psychologists","Psychologists","FEMALE",24,NA,24,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29420,"Lake Havasu City-Kingman, AZ","2004","Mental health counselors","Mental health counselors","ALL",16,NA,16,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29420,"Lake Havasu City-Kingman, AZ","1825","Other psychologists","Psychologists","ALL",24,NA,24,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29420,"Lake Havasu City-Kingman, AZ","2003","Marriage and family therapists","Mental health counselors","MALE",5,NA,NA,5,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA
29420,"Lake Havasu City-Kingman, AZ","2005","Rehabilitation counselors","Mental health counselors","ALL",23,NA,23,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29420,"Lake Havasu City-Kingman, AZ","2003","Marriage and family therapists","Mental health counselors","ALL",5,NA,NA,5,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA
29460,"Lakeland-Winter Haven, FL","0000","Total-Pop","Total-Pop","MALE",336312,78847,196285,1023,5417,48192,5716,832,23.44,58.36,0.3,1.61,14.33,1.7,0.25
29460,"Lakeland-Winter Haven, FL","1822","School psychologists","Psychologists","FEMALE",49,NA,49,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29460,"Lakeland-Winter Haven, FL","1825","Other psychologists","Psychologists","FEMALE",63,NA,50,NA,NA,13,NA,NA,NA,79.37,NA,NA,20.63,NA,NA
29460,"Lakeland-Winter Haven, FL","0000","Total-Pop","Total-Pop","FEMALE",349936,76003,207644,854,6571,52093,5610,1161,21.72,59.34,0.24,1.88,14.89,1.6,0.33
29460,"Lakeland-Winter Haven, FL","2004","Mental health counselors","Mental health counselors","FEMALE",112,27,85,NA,NA,NA,NA,NA,24.11,75.89,NA,NA,NA,NA,NA
29460,"Lakeland-Winter Haven, FL","2005","Rehabilitation counselors","Mental health counselors","FEMALE",40,NA,40,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29460,"Lakeland-Winter Haven, FL","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",38,NA,38,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29460,"Lakeland-Winter Haven, FL","2003","Marriage and family therapists","Mental health counselors","FEMALE",88,13,75,NA,NA,NA,NA,NA,14.77,85.23,NA,NA,NA,NA,NA
29460,"Lakeland-Winter Haven, FL","1825","Other psychologists","Psychologists","MALE",36,NA,36,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29460,"Lakeland-Winter Haven, FL","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",38,24,NA,NA,NA,14,NA,NA,63.16,NA,NA,NA,36.84,NA,NA
29460,"Lakeland-Winter Haven, FL","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",7,NA,7,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29460,"Lakeland-Winter Haven, FL","1821","Clinical and counseling psychologists","Psychologists","MALE",8,NA,8,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29460,"Lakeland-Winter Haven, FL","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",8,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,100,NA,NA
29460,"Lakeland-Winter Haven, FL","0000","Total-Pop","Total-Pop","ALL",686248,154850,403929,1877,11988,100285,11326,1993,22.56,58.86,0.27,1.75,14.61,1.65,0.29
29460,"Lakeland-Winter Haven, FL","1821","Clinical and counseling psychologists","Psychologists","ALL",15,NA,15,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29460,"Lakeland-Winter Haven, FL","1822","School psychologists","Psychologists","ALL",49,NA,49,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29460,"Lakeland-Winter Haven, FL","1825","Other psychologists","Psychologists","ALL",99,NA,86,NA,NA,13,NA,NA,NA,86.87,NA,NA,13.13,NA,NA
29460,"Lakeland-Winter Haven, FL","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",76,24,38,NA,NA,14,NA,NA,31.58,50,NA,NA,18.42,NA,NA
29460,"Lakeland-Winter Haven, FL","2003","Marriage and family therapists","Mental health counselors","ALL",88,13,75,NA,NA,NA,NA,NA,14.77,85.23,NA,NA,NA,NA,NA
29460,"Lakeland-Winter Haven, FL","2004","Mental health counselors","Mental health counselors","ALL",163,27,136,NA,NA,NA,NA,NA,16.56,83.44,NA,NA,NA,NA,NA
29460,"Lakeland-Winter Haven, FL","2005","Rehabilitation counselors","Mental health counselors","ALL",77,NA,66,NA,NA,NA,11,NA,NA,85.71,NA,NA,NA,14.29,NA
29460,"Lakeland-Winter Haven, FL","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",15,NA,7,NA,NA,8,NA,NA,NA,46.67,NA,NA,53.33,NA,NA
29460,"Lakeland-Winter Haven, FL","2004","Mental health counselors","Mental health counselors","MALE",51,NA,51,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29460,"Lakeland-Winter Haven, FL","2005","Rehabilitation counselors","Mental health counselors","MALE",37,NA,26,NA,NA,NA,11,NA,NA,70.27,NA,NA,NA,29.73,NA
29460,"Lakeland-Winter Haven, FL","1821","Clinical and counseling psychologists","Psychologists","FEMALE",7,NA,7,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29540,"Lancaster, PA","1821","Clinical and counseling psychologists","Psychologists","MALE",26,NA,26,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29540,"Lancaster, PA","1821","Clinical and counseling psychologists","Psychologists","FEMALE",25,NA,25,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29540,"Lancaster, PA","1822","School psychologists","Psychologists","FEMALE",27,NA,27,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29540,"Lancaster, PA","1825","Other psychologists","Psychologists","FEMALE",215,NA,186,NA,NA,29,NA,NA,NA,86.51,NA,NA,13.49,NA,NA
29540,"Lancaster, PA","0000","Total-Pop","Total-Pop","FEMALE",276855,28464,227430,24,6268,9192,5181,296,10.28,82.15,0.01,2.26,3.32,1.87,0.11
29540,"Lancaster, PA","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",100,NA,100,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29540,"Lancaster, PA","2003","Marriage and family therapists","Mental health counselors","FEMALE",17,NA,17,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29540,"Lancaster, PA","2004","Mental health counselors","Mental health counselors","FEMALE",151,24,127,NA,NA,NA,NA,NA,15.89,84.11,NA,NA,NA,NA,NA
29540,"Lancaster, PA","2005","Rehabilitation counselors","Mental health counselors","FEMALE",23,NA,23,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29540,"Lancaster, PA","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",19,NA,19,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29540,"Lancaster, PA","1821","Clinical and counseling psychologists","Psychologists","ALL",51,NA,51,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29540,"Lancaster, PA","1822","School psychologists","Psychologists","ALL",27,NA,27,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29540,"Lancaster, PA","1825","Other psychologists","Psychologists","ALL",257,NA,228,NA,NA,29,NA,NA,NA,88.72,NA,NA,11.28,NA,NA
29540,"Lancaster, PA","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",141,NA,100,NA,NA,41,NA,NA,NA,70.92,NA,NA,29.08,NA,NA
29540,"Lancaster, PA","2003","Marriage and family therapists","Mental health counselors","ALL",45,NA,45,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29540,"Lancaster, PA","2004","Mental health counselors","Mental health counselors","ALL",187,24,163,NA,NA,NA,NA,NA,12.83,87.17,NA,NA,NA,NA,NA
29540,"Lancaster, PA","2005","Rehabilitation counselors","Mental health counselors","ALL",61,NA,61,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29540,"Lancaster, PA","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",51,NA,51,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29540,"Lancaster, PA","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",41,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,100,NA,NA
29540,"Lancaster, PA","2003","Marriage and family therapists","Mental health counselors","MALE",28,NA,28,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29540,"Lancaster, PA","0000","Total-Pop","Total-Pop","MALE",264189,28248,216067,197,5584,9117,4781,195,10.69,81.79,0.07,2.11,3.45,1.81,0.07
29540,"Lancaster, PA","1825","Other psychologists","Psychologists","MALE",42,NA,42,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29540,"Lancaster, PA","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",32,NA,32,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29540,"Lancaster, PA","0000","Total-Pop","Total-Pop","ALL",541044,56712,443497,221,11852,18309,9962,491,10.48,81.97,0.04,2.19,3.38,1.84,0.09
29540,"Lancaster, PA","2004","Mental health counselors","Mental health counselors","MALE",36,NA,36,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29540,"Lancaster, PA","2005","Rehabilitation counselors","Mental health counselors","MALE",38,NA,38,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29620,"Lansing-East Lansing, MI","1821","Clinical and counseling psychologists","Psychologists","ALL",39,NA,7,NA,NA,32,NA,NA,NA,17.95,NA,NA,82.05,NA,NA
29620,"Lansing-East Lansing, MI","1822","School psychologists","Psychologists","ALL",15,NA,15,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29620,"Lansing-East Lansing, MI","2005","Rehabilitation counselors","Mental health counselors","ALL",39,NA,39,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29620,"Lansing-East Lansing, MI","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",88,NA,88,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29620,"Lansing-East Lansing, MI","2003","Marriage and family therapists","Mental health counselors","ALL",17,17,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
29620,"Lansing-East Lansing, MI","2004","Mental health counselors","Mental health counselors","ALL",82,NA,82,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29620,"Lansing-East Lansing, MI","1822","School psychologists","Psychologists","FEMALE",15,NA,15,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29620,"Lansing-East Lansing, MI","1825","Other psychologists","Psychologists","FEMALE",158,NA,158,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29620,"Lansing-East Lansing, MI","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",88,NA,88,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29620,"Lansing-East Lansing, MI","1821","Clinical and counseling psychologists","Psychologists","FEMALE",39,NA,7,NA,NA,32,NA,NA,NA,17.95,NA,NA,82.05,NA,NA
29620,"Lansing-East Lansing, MI","2005","Rehabilitation counselors","Mental health counselors","FEMALE",39,NA,39,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29620,"Lansing-East Lansing, MI","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",18,NA,18,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29620,"Lansing-East Lansing, MI","1825","Other psychologists","Psychologists","MALE",162,NA,162,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29620,"Lansing-East Lansing, MI","2004","Mental health counselors","Mental health counselors","FEMALE",54,NA,54,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29620,"Lansing-East Lansing, MI","2004","Mental health counselors","Mental health counselors","MALE",28,NA,28,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29620,"Lansing-East Lansing, MI","0000","Total-Pop","Total-Pop","MALE",233692,15948,176881,492,11291,20486,8310,284,6.82,75.69,0.21,4.83,8.77,3.56,0.12
29620,"Lansing-East Lansing, MI","2003","Marriage and family therapists","Mental health counselors","MALE",17,17,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
29620,"Lansing-East Lansing, MI","0000","Total-Pop","Total-Pop","ALL",478672,32119,363285,1346,22769,41575,16892,686,6.71,75.89,0.28,4.76,8.69,3.53,0.14
29620,"Lansing-East Lansing, MI","1825","Other psychologists","Psychologists","ALL",320,NA,320,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29620,"Lansing-East Lansing, MI","0000","Total-Pop","Total-Pop","FEMALE",244980,16171,186404,854,11478,21089,8582,402,6.6,76.09,0.35,4.69,8.61,3.5,0.16
29620,"Lansing-East Lansing, MI","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",18,NA,18,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29700,"Laredo, TX","2003","Marriage and family therapists","Mental health counselors","FEMALE",46,46,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
29700,"Laredo, TX","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",27,27,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
29700,"Laredo, TX","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",16,7,9,NA,NA,NA,NA,NA,43.75,56.25,NA,NA,NA,NA,NA
29700,"Laredo, TX","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",5,5,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
29700,"Laredo, TX","0000","Total-Pop","Total-Pop","FEMALE",139648,133698,4451,134,752,372,220,21,95.74,3.19,0.1,0.54,0.27,0.16,0.02
29700,"Laredo, TX","0000","Total-Pop","Total-Pop","MALE",133747,127312,5317,41,496,424,149,8,95.19,3.98,0.03,0.37,0.32,0.11,0.01
29700,"Laredo, TX","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",43,34,9,NA,NA,NA,NA,NA,79.07,20.93,NA,NA,NA,NA,NA
29700,"Laredo, TX","2003","Marriage and family therapists","Mental health counselors","ALL",46,46,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
29700,"Laredo, TX","2004","Mental health counselors","Mental health counselors","ALL",37,37,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
29700,"Laredo, TX","2005","Rehabilitation counselors","Mental health counselors","ALL",13,13,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
29700,"Laredo, TX","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",5,5,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
29700,"Laredo, TX","2005","Rehabilitation counselors","Mental health counselors","FEMALE",13,13,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
29700,"Laredo, TX","0000","Total-Pop","Total-Pop","ALL",273395,261010,9768,175,1248,796,369,29,95.47,3.57,0.06,0.46,0.29,0.13,0.01
29700,"Laredo, TX","2004","Mental health counselors","Mental health counselors","FEMALE",37,37,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
29740,"Las Cruces, NM","2005","Rehabilitation counselors","Mental health counselors","FEMALE",22,NA,22,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29740,"Las Cruces, NM","1825","Other psychologists","Psychologists","MALE",69,NA,69,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29740,"Las Cruces, NM","2004","Mental health counselors","Mental health counselors","MALE",27,17,10,NA,NA,NA,NA,NA,62.96,37.04,NA,NA,NA,NA,NA
29740,"Las Cruces, NM","2005","Rehabilitation counselors","Mental health counselors","MALE",16,NA,16,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29740,"Las Cruces, NM","2004","Mental health counselors","Mental health counselors","ALL",27,17,10,NA,NA,NA,NA,NA,62.96,37.04,NA,NA,NA,NA,NA
29740,"Las Cruces, NM","2003","Marriage and family therapists","Mental health counselors","MALE",13,13,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
29740,"Las Cruces, NM","0000","Total-Pop","Total-Pop","MALE",105980,71513,29464,990,969,1932,977,135,67.48,27.8,0.93,0.91,1.82,0.92,0.13
29740,"Las Cruces, NM","2003","Marriage and family therapists","Mental health counselors","ALL",13,13,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
29740,"Las Cruces, NM","0000","Total-Pop","Total-Pop","FEMALE",110156,75960,29568,542,1343,1426,1186,131,68.96,26.84,0.49,1.22,1.29,1.08,0.12
29740,"Las Cruces, NM","1825","Other psychologists","Psychologists","ALL",69,NA,69,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29740,"Las Cruces, NM","2005","Rehabilitation counselors","Mental health counselors","ALL",38,NA,38,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29740,"Las Cruces, NM","0000","Total-Pop","Total-Pop","ALL",216136,147473,59032,1532,2312,3358,2163,266,68.23,27.31,0.71,1.07,1.55,1,0.12
29820,"Las Vegas-Henderson-Paradise, NV","1821","Clinical and counseling psychologists","Psychologists","FEMALE",47,NA,47,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","FEMALE",257,78,114,NA,NA,65,NA,NA,30.35,44.36,NA,NA,25.29,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","2003","Marriage and family therapists","Mental health counselors","FEMALE",163,NA,154,NA,9,NA,NA,NA,NA,94.48,NA,5.52,NA,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","1821","Clinical and counseling psychologists","Psychologists","ALL",125,NA,97,NA,28,NA,NA,NA,NA,77.6,NA,22.4,NA,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","1822","School psychologists","Psychologists","ALL",114,16,77,NA,NA,21,NA,NA,14.04,67.54,NA,NA,18.42,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","1825","Other psychologists","Psychologists","ALL",352,NA,324,NA,11,17,NA,NA,NA,92.05,NA,3.12,4.83,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","1822","School psychologists","Psychologists","FEMALE",99,16,77,NA,NA,6,NA,NA,16.16,77.78,NA,NA,6.06,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","1825","Other psychologists","Psychologists","FEMALE",298,NA,270,NA,11,17,NA,NA,NA,90.6,NA,3.69,5.7,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","2005","Rehabilitation counselors","Mental health counselors","ALL",38,38,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","ALL",343,104,121,NA,NA,118,NA,NA,30.32,35.28,NA,NA,34.4,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","2004","Mental health counselors","Mental health counselors","FEMALE",213,60,101,NA,25,11,16,NA,28.17,47.42,NA,11.74,5.16,7.51,NA
29820,"Las Vegas-Henderson-Paradise, NV","2005","Rehabilitation counselors","Mental health counselors","FEMALE",15,15,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","FEMALE",44,NA,NA,NA,29,15,NA,NA,NA,NA,NA,65.91,34.09,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","ALL",81,NA,14,NA,29,38,NA,NA,NA,17.28,NA,35.8,46.91,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","0000","Total-Pop","Total-Pop","ALL",2181755,679502,932218,10163,222351,247732,82069,7720,31.14,42.73,0.47,10.19,11.35,3.76,0.35
29820,"Las Vegas-Henderson-Paradise, NV","1822","School psychologists","Psychologists","MALE",15,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,100,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","1825","Other psychologists","Psychologists","MALE",54,NA,54,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","2001","Substance abuse and behavioral disorder counselors","Mental health counselors","MALE",86,26,7,NA,NA,53,NA,NA,30.23,8.14,NA,NA,61.63,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","2003","Marriage and family therapists","Mental health counselors","MALE",106,8,42,NA,NA,56,NA,NA,7.55,39.62,NA,NA,52.83,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","2003","Marriage and family therapists","Mental health counselors","ALL",269,8,196,NA,9,56,NA,NA,2.97,72.86,NA,3.35,20.82,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","2004","Mental health counselors","Mental health counselors","ALL",241,88,101,NA,25,11,16,NA,36.51,41.91,NA,10.37,4.56,6.64,NA
29820,"Las Vegas-Henderson-Paradise, NV","0000","Total-Pop","Total-Pop","FEMALE",1092250,336704,456790,5176,122146,125531,42058,3845,30.83,41.82,0.47,11.18,11.49,3.85,0.35
29820,"Las Vegas-Henderson-Paradise, NV","0000","Total-Pop","Total-Pop","MALE",1089505,342798,475428,4987,100205,122201,40011,3875,31.46,43.64,0.46,9.2,11.22,3.67,0.36
29820,"Las Vegas-Henderson-Paradise, NV","2013","Mental health and substance abuse social workers","Mental health and substance abuse social workers","MALE",37,NA,14,NA,NA,23,NA,NA,NA,37.84,NA,NA,62.16,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","2004","Mental health counselors","Mental health counselors","MALE",28,28,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","1821","Clinical and counseling psychologists","Psychologists","MALE",78,NA,50,NA,28,NA,NA,NA,NA,64.1,NA,35.9,NA,NA,NA
29820,"Las Vegas-Henderson-Paradise, NV","2005","Rehabilitation counselors","Mental health counselors","MALE",23,23,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
